wage_id,footnote_id,column_reference
2697,84,tipcredit
2698,82,tipcredit
2698,84,tipcredit
2699,82,tipcredit
2699,85,tipcredit
2700,82,tipcredit
2700,85,tipcredit
2701,82,tipcredit
2701,86,tipcredit
2702,82,tipcredit
2702,86,tipcredit
2703,82,tipcredit
2703,87,tipcredit
2704,82,tipcredit
2704,87,tipcredit
2705,66,DEFINITION
2706,66,DEFINITION
2707,66,DEFINITION
2708,88,tipcredit
2708,89,DEFINITION
2709,90,DEFINITION
2710,90,DEFINITION
2711,122,DEFINITION
2712,122,DEFINITION
2713,123,DEFINITION
2714,123,DEFINITION
2715,90,DEFINITION
2716,90,DEFINITION
2717,124,DEFINITION
2718,124,DEFINITION
2719,125,DEFINITION
2720,125,DEFINITION
2721,126,DEFINITION
2722,126,DEFINITION
2723,127,DEFINITION
2724,127,DEFINITION
2725,128,DEFINITION
2726,128,DEFINITION
2727,97,DEFINITION
2728,97,DEFINITION
2729,98,DEFINITION
2730,98,DEFINITION
2731,99,jurisdiction
2731,77,DEFINITION
2732,99,jurisdiction
2732,77,DEFINITION
2733,99,jurisdiction
2733,77,DEFINITION
2734,100,tipcredit
2734,55,DEFINITION
2735,100,tipcredit
2735,55,DEFINITION
2736,100,tipcredit
2736,55,DEFINITION
2737,101,jurisdiction
2737,65,tipcredit
2737,55,DEFINITION
2738,101,jurisdiction
2738,65,tipcredit
2738,55,DEFINITION
2739,101,jurisdiction
2739,65,tipcredit
2739,55,DEFINITION
2740,102,jurisdiction
2740,82,tipcredit
2740,65,tipcredit
2740,66,DEFINITION
2741,102,jurisdiction
2741,82,tipcredit
2741,65,tipcredit
2741,66,DEFINITION
2742,102,jurisdiction
2742,82,tipcredit
2742,65,tipcredit
2742,66,DEFINITION
2743,55,DEFINITION
2744,55,DEFINITION
2745,55,DEFINITION
2746,66,DEFINITION
2747,66,DEFINITION
2748,66,DEFINITION
2749,82,tipcredit
2749,103,DEFINITION
2750,82,tipcredit
2750,103,DEFINITION
2751,82,tipcredit
2751,103,DEFINITION
2752,77,DEFINITION
2753,77,DEFINITION
2754,77,DEFINITION
2755,55,DEFINITION
2756,55,DEFINITION
2757,55,DEFINITION
2758,77,DEFINITION
2759,77,DEFINITION
2760,77,DEFINITION
2761,88,tipcredit
2761,105,DEFINITION
2762,106,tipcredit
2762,66,DEFINITION
2763,65,tipcredit
2763,66,DEFINITION
2764,65,tipcredit
2764,66,DEFINITION
2765,65,tipcredit
2765,66,DEFINITION
2766,88,tipcredit
2766,107,DEFINITION
2767,88,tipcredit
2767,107,DEFINITION
2768,86,tipcredit
2768,66,DEFINITION
2769,86,tipcredit
2769,66,DEFINITION
2770,86,tipcredit
2770,66,DEFINITION
2771,108,jurisdiction
2771,66,DEFINITION
2772,108,jurisdiction
2772,66,DEFINITION
2773,108,jurisdiction
2773,66,DEFINITION
2774,55,DEFINITION
2775,55,DEFINITION
2776,55,DEFINITION
2777,55,DEFINITION
2778,55,DEFINITION
2779,55,DEFINITION
2783,57,definition
2783,58,DEFINITION
2784,57,definition
2784,59,DEFINITION
2785,60,DEFINITION
2786,61,DEFINITION
2787,129,DEFINITION
2788,130,DEFINITION
2789,62,cashwage
2790,131,cashwage
2791,64,jurisdiction
2791,55,DEFINITION
2792,64,jurisdiction
2792,55,DEFINITION
2793,64,jurisdiction
2793,55,DEFINITION
2794,66,DEFINITION
2795,66,DEFINITION
